,name,name2,position
0,Sergio Agüero,sergio aguero,FW
1,Kevin De Bruyne,kevin de bruyne,FW
2,Mohamed Salah,mohammed salah,FW
3,Eden Hazard,eden hazard,FW
4,Harry Kane,harry kane,FW
5,David Silva,david silva,FW
6,Raheem Sterling,raheem sterling,FW
7,Leroy Sané,leroy sane,FW
8,Roberto Firmino,roberto firmino,FW
9,Wilfried Zaha,wilfred zaha,FW
10,Alexis Sánchez,alexis sanchez,FW
11,Romelu Lukaku,romelu lukaku,FW
12,Riyad Mahrez,riyadh mahrez,FW
13,Sadio Mané,sadio mane,FW
14,Andros Townsend,andros townsend,FW
15,Cesc Fàbregas,cesc fabregas,FW
16,Dele Alli,dele alli,FW
17,Alexandre Lacazette,alexandre lacazette,FW
18,Marko Arnautovic,marko arnautovic,FW
19,Gabriel Jesus,gabriel jesus,FW
20,Son Heung-Min,son heung min,FW
21,Jamie Vardy,jamie vardy,FW
22,Álvaro Morata,alvaro morata,FW
23,Eric Choupo-Moting,eric choupo-moting,FW
24,Jordan Ayew,jordan ayew,FW
25,Christian Benteke,christian benteke,FW
26,Michail Antonio,mikhail antonio,FW
27,Gylfi Sigurdsson,gylfi sigurdsson,FW
28,Joshua King,joshua king,FW
29,Anthony Martial,anthony martial,FW
30,Peter Crouch,peter crouch,FW
31,Richarlison,richarlison,FW
32,Jesse Lingard,jesse lingard,FW
33,Pascal Groß,pascal gross,FW
34,Chris Wood,chris wood,FW
35,Bernardo Silva,bernardo silva,FW
36,Dusan Tadic,dusan tadic,FW
37,Steve Mounié,steve mounie,FW
38,Salomón Rondón,solomon rondon,FW
39,Mame Biram Diouf,mame biram diouf,FW
40,Marcus Rashford,marcus rashford,FW
41,Joselu,joselu,FW
42,Ayoze Pérez,ayoze perez,FW
43,Matt Phillips,matt phillips,FW
44,Dominic Calvert-Lewin,dominic calvert-lewin,FW
45,Ryan Fraser,ryan fraser,FW
46,Sofiane Boufal,sofiane boufal,FW
47,Pedro,pedro,FW
48,Oumar Niasse,oumar niasse,FW
49,Nathan Redmond,nathan redmond,FW
50,Wayne Rooney,wayne rooney,FW
51,Jay Rodriguez,jay rodriguez,FW
52,Troy Deeney,troy deeney,FW
53,Glenn Murray,glenn murray,FW
54,Chicharito,chicharito,FW
